name,date,rating,year,state,clean_review,len_review
Trenton,2022-11-29,1.0,2022,GA,so i went to starbucks at the kroger on lower fayetteville and there was this old man serving coffee there so i went up to there and asked for a tall americano and he asked my name and i said it but he said he didnt hear me so i said it louder so when i got my drink i was just sipping it until i looked at the receipt on my cup it said trenae worst service ever,79
Ryan,2022-11-29,1.0,2022,CA,i cannot believe starbucks closed off all of the outlets in their stores around me i would visit sb solo and with clients at least  times per month spending real money one of my favorite past times has been catching up on emails while enjoying coffee and food now i cannot come back knowing that i cant be productive while there ya just lost a loyal customer for almost  years wow just wow,75
Ian,2022-11-17,1.0,2022,CA,starbucks had an ad on veterans day for complimentary coffee for vets i go to starbucks at least once a day and my sherman oaks location didnt know about it i called corporate who confirmed it was a fake ad i asked my san diego marines about it and they advised starbucks was honoring it i went online to contact starbucks and they said theyd look into it call me back and even looked on my account and said they would gift me  all was a lie i was never contacted didnt receive the  unimportant and reached out this morning and was hung up on starbucks has lost a loyal life long customer i will also tell every veteran i know that starbucks does not honor service members and they have no integrity disappointing,134
john,2022-11-17,1.0,2022,NJ,starbucks offers reusable holiday cups when purchasing a holiday beverage they refused a diabetic an unsweetened beverage because it was not one of their holiday beverages one would think they could have been more accommodating,35
B,2022-11-11,1.0,2022,NC,refused a free coffee to me and other veterans in franklin nc on veterans day as offered on starbucks national website and offered in newspapers statewide as a long time customer of starbucks i am no longer a customer,39
Diana,2022-11-10,1.0,2022,WI,so mad i go to the green bay starbucks here which a lot of the time i get great service and it is a good place to go but when i get a cold drink a lot of the time the lid does not stay on at all i have so many instances where i grab the cup and it falls off well today i ordered a green tea and then i was drinking it in my living room and the lid completely came off and fell out of my hands and now it is all over the floor and into my carpet not ordering there again until this is fixed it is a  dollar drink and i should be able to drink it and not have it all over the floor because of an issue on their end,139
Ariane,2022-11-06,1.0,2022,NH,i did a mobile order and it gave a time of am i went to pick up at am i waited  minutes until i went up to the register and got a refund my problem was the manager on duty she told customers to stop bothering the employees and they could get orders out as a retail worker that is unacceptable to say to your consumers that does not react return business thats a foul attitude i will never visit the tilton starbucks ever again they are unprofessional and rude,90
Kimberly,2022-11-06,2.0,2022,AR,i love the starbucks on sunset the new one on elms springs isnt quite there yet friendly which is amazing just they dont quite have it down yet my daughter and i went there yesterday and it was watery and not as nearly wonderful so we will go the extra miles to go to the one that knows what they are doing our money is just as important as your money,71
Susanne,2022-10-29,1.0,2022,CA,ive recently realized how difficult it is to find a starbucks that has electrical outlets available to customers for charging laptops and cellphones at first i thought oh this particular store just never installed them however thats not the case they have purposefully removed them in order to save electricity a slap in the face to us loyal customers who spend gobs of money on their overpriced drink and food already i always figured well it makes sense ill pay the extra price for the opportunity to enjoy hanging around using wifi and tapping some power but theyve gone too far now uh uh you guys are not right i still appreciate free ice cold water and whipped cream for my dog but in the back of my mind lurks the knowledge that they have given and taketh away ive banned you from my go to restaurants list in fact i might never step into a starbucks ever again that was a shameful thing you guys did,167
Gina,2022-10-26,1.0,2022,AR,miserable customer service executive department and websiteapps we have a starbucks account where our payment method is linked to our account so we may earn stars for rewards the starbucks cafe we go to is in a marketprice chopper grocery store previously every now and then purchase history shows with the  amount but no stars shows as  earned then this started happening on a frequent basis called customer service most speak english with a very broken accent explained the issue ,80
Kenneth,2022-10-21,2.0,2022,MN,very stale egg product in sandwich unusually weak coffee unlike most starbucks very crowded store staff overwhelmed go to caribou coffee instead they need to test their products for freshness on a daily basis,34
Marmar,2022-10-13,1.0,2022,Other,i frequent this particular starbucks about  times a week this is the edgemont branch location my usual drink is grande in venti cup extra milk most of the employees know my face and some know my name as i go there quite often today i went to get my usual drink i know exactly how much coffee and how much milk goes into the cup the coffee level is at the edge of the circle on the cup so when i saw the amount of coffee was less than usual and had too much room i pointed it to the employee she then proceeded to go to the back to talk to someone else then came back with a measured cup and said we cant do that and talked to me in a way that really ruined the experience for me as she was making a fuss over nothing ,149
Nildee,2022-10-10,1.0,2022,FL,while on vacation we stopped at this starbucks on  poplar ave in memphis tennessee to use the restroom by the sink of the womens restroom there were roaches half dead in addition to the filthy restroom everything else inside smelled damp like old used towels you could also not wash your hands with soap because there was no dispenser there was only one other restroom available which was out of service will have to keep my options and eyes open from now on,83
Lloyd,2022-10-08,1.0,2022,TX,company continues to raise prices when they have been generating revenue for years they dont pay or take care of their employees well at all and they continue to lay off employees will never get my business,37
Lauren,2022-10-08,1.0,2022,OH,the website says that the store closes at  pm my brother and i get to the drive through only to sit there for five minutes watching an employee walk around outside only to go back inside to tell us they closed and refused to serve us starbucks will no longer be getting my money,54
Aryelle,2022-09-29,1.0,2022,VA,i went to starbucks and asked for a vanilla and and the barista gave me what was left in the blender i asked for a new one and the barista charged me double for it do not go to  jefferson davis highway bermuda square chester va ,46
Roy,2022-09-23,1.0,2022,TN,i used to spend over  a month in starbucks coffee and do the receipt upload for stars as part of the loyalty rewards on top of buying several drinks from the on site barista when i was near one as i am not local to any then starbucks stopped the receipt upload for stars so now i am boycotting starbucks due to receipt upload ending and now buying from black rifle coffee over the years starbucks keeps chopping away at the loyalty star program in the past you got way more star benefits but now its super skimpy,98
Elizabeth,2022-09-23,3.0,2022,IN,i am continually disappointed when going to starbucks i am not sure they are reading the room so to speak the cost continues to go up as all things but there should be a level of competing with the competitor in our town we have  new dunkin donuts and they are less expensive no am sure they are pulling customers it also seems they are shorting the cups do not seem to be full on the craft drinks service has been much better than last year have been a consumer for a long time just seem its time to feed the customer more obviously than points,106
Wendy,2022-08-27,1.0,2022,MO, starbucks has continuously cut their rewards program over the past few years now you have to activate double star days they know the more trouble they put people through the less people will get the benefit,36
Bertha,2022-08-07,1.0,2022,GA,purchased one cup of coffee and was charged  times for  cup so i am owed a credit to my debit card however i was told after calling the  number that they will not be able to give me credit and the store will not likely give me a credit because it has been over hours i suppose i should have assumed that they were going to rip me off with this triple charge and check my account and since i did not do that they decided to keep my money or offer me a card so that i lose my choice of where i spend the money that they stole such poor business ethics,114
Christopher,2022-08-01,1.0,2022,CA,ok i know how the staff at starbucks at  washington ave murrieta ca    the service has to be one of the worst i have ever been to i started going to this one over  months ago and they still dont know my drink now it is very difficult its any hot coffee with  sugars stirred in then extra cream  now if thats too hard to get how the hell did they get a job i have been to starbucks all over and in less than  days they know my drink but not here where  months aint enough to understand something so simple and yes i go in every day,109
Sharon,2022-07-18,2.0,2022,VA,no review text,3
Lukas,2022-07-16,5.0,2022,AZ,a place to be the space i chose was starbucks never in my life would i have imagined that i would be interested in writing a paper about this i am currently traveling and it has been a place that i have been frequently visiting to sit down and take care of my studies i am an avid coffee drinker also and love to sip on a beverage and take care of what i need to take care of it is peaceful although sometimes chaotic i enjoy being able to sit down and do my work i believe it is a great place for students like myself to sit down and be productive,113
David,2022-07-13,3.0,2022,IL,i walk to the starbucks near my house every other day and get the same drink every day chai tea latte the service is usually great and i dont have to wait that long at all the employees are friendly and kind this goes for other locations that i visit unfortunately the quality of starbucks products has significantly declined and the prices have skyrocketed but that is understandable given the current economy every time i get a chai tea latte it either tastes like water or nothing but milk and on top of that i am paying a premium for the venti size,103
Pamela,2022-07-09,1.0,2022,MI, minutes in line with the employees constantly disappearing to the back and a line down the terminal i never got to the counter to order and i was an hour and a half early for my flight get some employees who actually work so i can review the product and the service,52
Brooklyn,2022-06-27,2.0,2022,FL,i went to starbucks today expecting to get what i wanted i ordered a grande dragon fruit refresher with lemonade and a cheese pastry this lady who works there charges me  dollars the pastry was about  dollars in all and on top that she didnt even get me a grande she got me a small so i paid way more than what it was worth anddd she didnt give me receipt so that i couldnt sue her because if i had one i would for sure this freaking lady had the audacity to rob me of my money and ill never forget that and the cheese pastry i got was cream cheese not just cheese like it said i didnt want cream cheese i wanted regular cheese omg is that literally too much to ask for so ya starbucks sucks never go there,143
IAm,2022-06-25,1.0,2022,GA,i almost drunk a glass that was in my caramel crunch frappuccino this is the most uncomfortable experience i have ever had at a starbucks coffee and caramel frappuccino crunch is one of my favorite coffee is and i get it all the time to have glass in my coffee and almost swallowing it was the most dreadful bad experience i ever had if i would have swallow it lords nows the damage it would have done starbucks store location  east victory drive savanah ga store number   case number,89
Julie,2022-06-17,1.0,2022,TX,the starbucks coffee drinks cost a good deal of money so when i pay for a coffee drink i expect to get coffee not a milkshake but there are milkshakes hidden in the frappuccino menu if it is for kids it should be labeled kids drinks or milkshakes that is just really disappointing i ordered a strawberry creme frappuccino thinking that it was like the strawberry funnel cake frappuccino which was really good and had coffee in it but they stopped selling that and instead there was just this disappointing strawberry milkshake that i ended up with ,97
Aaron,2022-06-15,1.0,2022,MN,i am  years old crashed my motorbike on a plastic starbucks sign that was in the street and was injured and my motorbike was totaled i contacted starbucks and they promised me they would take care of it and agreed verbally on an amount that they would pay me i agreed not to file a lawsuit if they would do the right thing and i have given them over a year to take care of this they have not kept their word at all completely dishonest and untrustworthy and never tell the truth who would ever want to drink their coffee of a company so dishonest and untrustworthy,108
Billy,2022-06-13,1.0,2022,WA,i have been a loyal customer for  yrshowever ive won multiple prizes on the most recent starbucks app game but the prizes dont get delivered to my account customer service didnt know how to help ive spent money to play the game trying to win prizes but never see the prizes that ive already won fraud dont fall for it screenshots dont help either it needs the reward to be displayed as in barcode scan im not spending in starbucks anymore its brand of integrity is very poor,88
Ivan,2022-05-31,4.0,2022,CA,most starbucks charge  for grande pike place coffee but one store in huntington beach ca brookhurst  hamilton charges  for same grande lovely place great staff but price a bit of a turn off,33
Samantha,2022-05-31,1.0,2022,MS,i visited the starbucks in flowood mississippi on may   and the young man gave me the very hot tea with the top off and it went everywhere my thigh was on fire and when i asked for napkins he just looked at me i gave him the tea back and asked for the manager mr cody came to the window and when i told him what happened he said really with a smirk on his face i was like yes then he went on to say oh but the smirk was still on his face he was questioning the fact of if i really got burned when i asked for my money back he got an attitude he refuse to tell me the general managers name or number,128
J,2022-05-30,5.0,2022,CO,i have been going to this store regularly for years the last year has been almost daily it is a very busy store but they move us through quickly it seems like the employees all get along and do their jobs efficiently and curiously one day a slight mistake was made and could have been my error due to the fact i usually have a large order but a very nice young lady stephanie took care of it with a smile if i need coffee i will wait to drive to this store the manager elaina is always working with a smile maybe that is why her employees treat us all that way these days it is hard to find good customer service but to find exceptional service is even better thank you to stephanie and the whole crew great job elaina,142
Jacqueline,2022-05-24,1.0,2022,Other,i stopped in at starbucks at coomera and they had a line of about  cars waiting they served all the cars in drive through before making the coffees of any of the customers who had actually come into the store they charge c to add syrup to your coffee which you dont actually receive and is a far higher charge than similar coffee chains the coffee was hot but tasted awful,71
RC,2022-05-03,1.0,2022,Other,starbucks is supposed to be a quality brand and we love starbucks coffee recently their centres have started cutting cost by not providing paper bags when we purchase a product from starbucks we regularly buy coffee beans worth  from starbucks and when we ask for a bag they have started providing excuses like we have run out of bags their products are so expensive but they cannot provide a paper bag to even carry the purchased product in usa wegmans store provides huge strong paper bags for even the smallest purchase made sad to see the way cost cutting is taking a toll on customer experience,107
Paul,2022-04-15,1.0,2022,PA,it costs over  for  small breakfast sandwiches these should be  a piece like every where else and the greeting from the server was rude a simple what do want is not a greeting too expensive and poor service i wont go back there,43
EADream,2022-04-06,5.0,2022,TX,the first time after years i felt the welcome to starbucks greeting at this place  i said in my heart well mr first ceo returned with his principles i read his books but for the many starbucks doors i entered in the founders story in the book  the practice at most starbucks were totally different im very excited to experience as the book stories keep the warm tradition get going,70
Elle,2022-04-05,5.0,2022,Other,good service the employees are good at both english and tagalog fast service and the environment are really clean and tidy and i also appreciate the fact that they use paper straws to support the environment  stars ,37
Tasha,2022-04-05,1.0,2022,OK,i came back to oklahoma city due to a business meeting and to visit my family while visiting a starbucks location in oklahoma city ok at  s oklahoma city ok  i was threatened verbally as well as physically by an employee i am a longtime daily customer of starbucks i would say i visit a location at least  days out of  per year on the morning of april th  i went in to purchase my usual daily cup of coffee i decided to purchase a protein box and a cheese and fruit box as well while waiting in a fairly long line i arrived at the counter in which i were greeted by a young lady named  my order was placed for a venti sized blonde roast of brewed coffee including eight packages of agave sugar free vanilla cream and the two boxes discussed above,145
Phil,2022-03-01,1.0,2022,NC,how can people drink the awfully burnt tasting coffee from starbucks overpriced poor tasting better to go to dunkin starbucks uses cheaply source beans and roasts them to death not only burn the beans also burn the essential oils,39
Angeline,2022-02-23,1.0,2022,PA,i ordered  mint frappuccino and it was not frozen i returned to the facility and an asian guy looked very upset he redone my drinks and he still could not make it correct he forgot to add the chocolate syrup and was told and he snatched it off the counter with attitude and he added cookie crumbs not the syrup he made me feel very uncomfortable on top of that i tried it and it was not good i do not recommend this location at washington square if you see this guy do not let him make your drink,99
Edwin,2022-02-12,1.0,2022,Other,good morning in case it happened i just bought a tea here in this new golden place out of toa baja when young gregorio goes to collect before saying amount to collect tells me hi you are going to tip and i comment no he comes back and comments and i repeat not then he tells me the total i give him money and seeing when they give him the tea that he has to give me i realize that all the employees approach him they stopped to talk to everyone two of the girls start dancing they went to work with other orders leaving the glass that i had to deliver to the front of the window realizing like any adult that these young men or gregorio made me wait when the order was ready normally when it is by servi car we leave the change or leave extra all this so that you do not leave a tip in a servi carro i am embarrassed that a good new business has employees like these who with their actions seem to force the client to tip  am starbucks,189
Robin,2022-02-08,2.0,2022,NC,i went through the drive thru at the starbucks on capital i ordered a grande nonfat mocha she gave me a venti with surprise i asked is this my coffee i ordered a grande and she said we are out of grande cups i said oh i understand i paid and left i drank my coffee it was good as always however i went to throw it away when i saw it was doubled with another cup it was a tall i paid for a grande i just got ripped off at a good yet expensive coffee shop this is the first time this has happened to me at a starbucks i have always known them to take pride in company oh well guess it happens to everyone warning be careful look at your drink carefully i will from now on,141
Fazlin,2022-02-05,1.0,2022,Other,there were  barristers or helper at the counter at one time but the services was so poor not efficient slow not service oriented no team work and they were not supporting each other at the end services to customers were affected,41
Lucy,2022-02-03,5.0,2022,Other,the starbucks on newman lasalle quebec has the best customer service anywhere i go by there every other day before noon to get a coffee or a sandwich and the person at the window is such a delight to deal with along with all other employees they are friendly helpful and always have a great attitude hats off to them,60
Denise,2022-01-20,5.0,2022,TX,i would like to give a huge shoutout to the starbucks employees at the kroger location in plano tx at coit and hwy  all of their employees are super friendly efficient and always remember my drink combo me and my husband have been going to that starbucks for six years now and we love our baristas most days there is only one barista tending to the store but they are always efficient and seem to do an amazing job single handedly i would like to give a special shoutout to michelle she always greets me with a smile and a funny story which makes my day amazing thank you michelle for always being my ray of sunshine first thing in the morning,122
Patrick,2022-01-18,1.0,2022,GA,when employees along with management are having side bars about a customer and the customer knows that they are talking about them because it was very obvious it is very rude and very unprofessional,34
Brenda,2022-01-11,3.0,2022,OR,the location where i go the employees are great and they always seems to make my drink right so no complaints there the complaint is just the price increase at this time it is unnecessary since you can not distribute the products and keep single locations in stock ever it is a toss up if what you want will be available that day or not you can get product off line and make it for way cheaper at home with the break down you can make a frappuccino that taste similar for  with top ingredients from home where when you go to starbucks the same thing would cost around  to  starbucks was an everyday thing for me and my family now i am making my own at home and i order from starbucks maybe  time a week and even that will be slowing down,144
